#{"t_start": 1782138123.3904839, "env_id": "FetchReach-v4"}
r,l,t
-1.911068,50,530.438142
-2.159878,50,531.751638
-2.578274,50,533.094966
-1.284531,50,534.71782
-1.31148,50,536.11231
-1.166599,50,537.448973
-1.419284,50,538.807357
-1.049501,50,540.376669
-1.36585,50,541.78949
-1.336947,50,543.023769
-2.057699,50,544.404154
-1.218226,50,546.051163
-1.417256,50,547.340211
-1.49444,50,548.681368
-1.308784,50,549.784187
-1.395202,50,551.416121
-1.268071,50,552.597781
-0.98098,50,553.953437
-1.345548,50,555.233809
-0.95725,50,556.673748
-1.400211,50,558.019133
-1.451447,50,559.185509
-0.998366,50,560.557117
-1.420666,50,562.164474
-1.23207,50,563.489063
-1.47752,50,564.855991
-1.561147,50,566.210835
-1.304725,50,567.910391
-1.019159,50,569.13524
-1.446393,50,570.469094
-1.129174,50,572.021977
-1.026914,50,573.764062
-1.245182,50,575.091814
-1.617074,50,576.424154
-1.541224,50,577.735795
-0.772046,50,579.286061
-1.280224,50,580.5872
-1.087094,50,581.931056
-1.013812,50,583.239264
-1.354896,50,584.789048
-1.487128,50,586.095593
-1.693793,50,587.462221
-1.205533,50,588.50576
-1.619774,50,590.063211
-0.819853,50,591.262083
-1.190159,50,592.343218
-1.087976,50,593.336968
-1.430835,50,594.892472
-0.986338,50,596.056577
-1.612743,50,597.195351
-1.561842,50,598.574121
-1.378174,50,600.186868
-1.107065,50,601.385881
-2.252752,50,602.7065
-0.605951,50,603.956783
-2.378196,50,605.346753
-1.36666,50,606.437525
-0.959731,50,607.795493
-1.401828,50,609.186319
-1.342011,50,610.689187
-0.799459,50,611.943348
-1.254841,50,613.328767
-1.126981,50,614.600546
-1.535454,50,616.199217
-1.352537,50,617.600899
-1.322801,50,618.941058
-0.970537,50,620.218669
-1.781304,50,621.571985
-1.731189,50,623.075198
-1.26889,50,624.421017
-1.182754,50,625.824507
-1.522127,50,627.415283
-1.065682,50,628.763718
-1.284622,50,630.143165
-1.511614,50,631.527841
-2.008679,50,633.199384
-1.305244,50,634.576874
-1.39162,50,635.955982
-1.627479,50,637.323803
-1.469602,50,638.799641
-1.157695,50,640.010268
-1.022822,50,641.307499
-1.196802,50,642.390789
-1.145448,50,643.892026
-1.401966,50,645.265951
-0.810091,50,646.643815
-1.426601,50,648.024722
-1.380839,50,649.33965
-1.047595,50,650.707768
-1.508144,50,652.004799
-1.061544,50,653.236956
-1.377624,50,654.82819
-1.553866,50,656.189773
-2.319236,50,657.509258
-0.903894,50,658.761466
-1.325055,50,660.160114
-1.035244,50,661.53037
-1.186883,50,662.44504
-1.702339,50,663.892091
-1.31747,50,665.469406
-1.080729,50,666.768319
-1.463689,50,668.037073
